Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 08:39:13,1,0
2021/06/09 08:39:14,0,1
2021/06/09 08:39:15,1,0
2021/06/09 08:39:18,0,1
2021/06/09 08:39:24,0,1
2021/06/09 08:39:25,1,0
2021/06/09 08:39:26,1,0
2021/06/09 08:39:29,1,0
2021/06/09 08:39:29,1,0
2021/06/09 08:39:30,1,0
2021/06/09 08:39:31,1,0
2021/06/09 08:39:32,0,1
2021/06/09 08:39:32,1,0
2021/06/09 08:39:33,0,1
2021/06/09 08:39:35,1,0
2021/06/09 08:39:36,1,0
2021/06/09 08:39:37,1,0
2021/06/09 08:39:38,0,1
2021/06/09 08:39:38,1,0
2021/06/09 08:39:39,0,1
2021/06/09 08:39:44,0,1
2021/06/09 08:39:44,0,1
2021/06/09 08:39:44,1,0
2021/06/09 08:39:46,0,1
2021/06/09 08:39:46,1,0
2021/06/09 08:39:47,1,0
2021/06/09 08:39:48,0,1
2021/06/09 08:39:49,1,0
2021/06/09 08:39:50,1,0
2021/06/09 08:39:51,0,1
2021/06/09 08:39:52,1,0
2021/06/09 08:39:52,1,0
2021/06/09 08:39:53,0,1
2021/06/09 08:39:53,1,0
2021/06/09 08:39:56,0,1
2021/06/09 08:39:57,1,0
2021/06/09 08:39:57,0,1
2021/06/09 08:39:59,1,0
2021/06/09 08:39:59,1,0
2021/06/09 08:40:00,1,0
2021/06/09 08:40:02,0,1
2021/06/09 08:40:04,0,1
2021/06/09 08:40:04,1,0
2021/06/09 08:40:04,1,0
2021/06/09 08:40:06,1,0
2021/06/09 08:40:08,1,0
2021/06/09 08:40:11,1,0
2021/06/09 08:40:16,0,1
2021/06/09 08:40:17,1,0
2021/06/09 08:40:19,0,1
2021/06/09 08:40:20,1,0
2021/06/09 08:40:20,0,1
2021/06/09 08:40:22,0,1
2021/06/09 08:40:23,1,0
2021/06/09 08:40:23,1,0
2021/06/09 08:40:25,0,1
2021/06/09 08:40:25,1,0
2021/06/09 08:40:27,1,0
2021/06/09 08:40:28,0,1
2021/06/09 08:40:31,1,0
2021/06/09 08:40:31,0,1
2021/06/09 08:40:32,0,1
2021/06/09 08:40:37,1,0
2021/06/09 08:40:38,0,1
2021/06/09 08:40:40,1,0
2021/06/09 08:40:41,0,1
2021/06/09 08:40:41,0,1
2021/06/09 08:40:43,1,0
2021/06/09 08:40:45,1,0
2021/06/09 08:40:46,0,1
2021/06/09 08:40:48,0,1
2021/06/09 08:40:48,1,0
2021/06/09 08:40:50,1,0
2021/06/09 08:40:50,1,0
2021/06/09 08:40:51,0,1
2021/06/09 08:40:52,1,0
2021/06/09 08:40:56,1,0
2021/06/09 08:40:58,0,1
2021/06/09 08:40:59,0,1
2021/06/09 08:41:00,1,0
2021/06/09 08:41:05,1,0
2021/06/09 08:41:05,1,0
2021/06/09 08:41:06,0,1
2021/06/09 08:41:07,1,0
2021/06/09 08:41:09,0,1
2021/06/09 08:41:10,1,0
2021/06/09 08:41:13,1,0
2021/06/09 08:41:14,1,0
2021/06/09 08:41:15,1,0
2021/06/09 08:41:17,0,1
2021/06/09 08:41:17,0,1
2021/06/09 08:41:18,1,0
2021/06/09 08:41:21,0,1
2021/06/09 08:41:22,1,0
2021/06/09 08:41:23,1,0
2021/06/09 08:41:27,1,0
2021/06/09 08:41:28,1,0
2021/06/09 08:41:28,1,0
2021/06/09 08:41:30,0,1
2021/06/09 08:41:33,1,0
2021/06/09 08:41:33,0,1
2021/06/09 08:41:34,0,1
2021/06/09 08:41:35,1,0
2021/06/09 08:41:38,1,0
2021/06/09 08:41:38,1,0
2021/06/09 08:41:40,0,1
2021/06/09 08:41:41,1,0
2021/06/09 08:41:45,1,0
2021/06/09 08:41:46,0,1
2021/06/09 08:41:47,0,1
2021/06/09 08:41:49,0,1
2021/06/09 08:41:49,1,0
2021/06/09 08:41:50,0,1
2021/06/09 08:41:50,1,0
2021/06/09 08:41:51,1,0
2021/06/09 08:41:52,0,1
2021/06/09 08:41:57,1,0
2021/06/09 08:41:57,0,1
2021/06/09 08:42:00,0,1
2021/06/09 08:42:01,1,0
2021/06/09 08:42:02,0,1
2021/06/09 08:42:02,0,1
2021/06/09 08:42:02,0,1
2021/06/09 08:42:04,0,1
2021/06/09 08:42:05,0,1
2021/06/09 08:42:06,1,0
2021/06/09 08:42:07,1,0
